ticker,shortName,revenue,revenueGrowth,earningGrowth,grossMargin,operatingMargin,netMargin,eps,debt,cash,asset,equity,returnOnAsset,returnOnEquity,debtEquityRatio,freeCashFlow,operatingCashFlow,marketCap,dividendYield
AAPL,Apple Inc.,394328000000.0,0.0779378760418461,0.05410857625686516,0.43309630561360085,0.30288744395528594,0.2530964070519973,6.11,120069000000.0,48304000000.0,352755000000.0,50672000000.0,0.2829244092925685,1.9695887275023682,2.3695334701610355,111443000000.0,122151000000.0,2736141107200.0,0.005424062363211733
MSFT,Microsoft Corporation,211915000000.0,0.06882029555656421,-0.005182985509637361,0.6892008588349102,0.417728806361041,0.3414623787839464,9.68,59965000000.0,111262000000.0,411976000000.0,206223000000.0,0.175643726819038,0.35088714643856406,0.2907774593522546,59475000000.0,87582000000.0,2453455241216.0,0.008070251157378593
GOOG,Alphabet Inc.,282836000000.0,0.09780815643715779,-0.2112372259413675,0.5537944250378312,0.2646127084246701,0.2120380715326196,4.56,27202000000.0,113762000000.0,365264000000.0,256144000000.0,0.16418809409084936,0.2341339246673746,0.10619807608220376,60010000000.0,91495000000.0,1737698050048.0,0.0
AMZN,"Amazon.com, Inc.",513983000000.0,0.09399517263985091,-1.0815849418534949,0.13159968325800658,0.023829581912242232,-0.005295895000418302,-0.27,140118000000.0,70026000000.0,462675000000.0,146043000000.0,-0.0058831793375479545,-0.018638346240490815,0.9594297569893798,-16893000000.0,46752000000.0,1448515993600.0,0.0
NVDA,NVIDIA Corporation,26974000000.0,0.002229323028906993,-0.5520918785890074,0.5692889449099132,0.20675465262845702,0.16193371394676356,1.74,11855000000.0,13296000000.0,41182000000.0,22101000000.0,0.10606575688407557,0.19763811592235644,0.5364010678249853,3808000000.0,5641000000.0,1084330082304.0001,0.00036704690434698987
TSLA,"Tesla, Inc.",81462000000.0,0.5135165263920629,1.2799420184816088,0.25598438535759005,0.16979696054602145,0.15446465836831896,3.62,3099000000.0,22185000000.0,82338000000.0,44704000000.0,0.15282129757827492,0.28147369362920543,0.06932265569076593,7552000000.0,14724000000.0,870911115264.0,0.0
BRK-B,Berkshire Hathaway Inc. New,234190000000.0,-0.33963275020020534,-1.254123280806281,,,-0.09743797771040608,-10.356672,122744000000.0,128585000000.0,948452000000.0,472360000000.0,-0.024059203839519552,-0.04830849352189008,0.259852654754848,21760000000.0,37224000000.0,803078799360.0,0.0
META,"Meta Platforms, Inc.",116609000000.0,-0.011193175554782941,-0.4107188214376428,0.7834729737841848,0.24821411726367604,0.19895548371051977,8.59,26591000000.0,40738000000.0,185727000000.0,125713000000.0,0.12491452508251358,0.18454734196145187,0.21152148146969685,19044000000.0,50475000000.0,772745658368.0,0.0
LLY,Eli Lilly and Company,28541400000.0,0.007874738685801352,0.11879893222494942,0.7677128662223998,0.2901189149796436,0.21879795665244173,6.9,16238600000.0,2211800000.0,49489800000.0,10649800000.0,0.12618357722197301,0.5863772089616707,1.5247798080715131,4600400000.0,7084400000.0,546471116800.0,0.0064702413198062
V,Visa Inc.,29310000000.0,0.21593030491599263,0.21492973763301104,0.8044012282497441,0.6714773114977823,0.5103036506311839,7.0,22450000000.0,18522000000.0,85501000000.0,35581000000.0,0.1749336265072923,0.42036480143897026,0.6309547230263343,17879000000.0,18849000000.0,501377400832.0,0.006388401221684205
XOM,Exxon Mobil Corporation,398675000000.0,0.39572538860103634,1.4192708333333335,0.25852386028720137,0.15939298927698,0.13981313099642567,13.26,41193000000.0,29640000000.0,369067000000.0,195049000000.0,0.151029487870766,0.2857743438828192,0.21119308481458504,58390000000.0,76797000000.0,465224564736.0,0.03211137401671256
UNH,UnitedHealth Group Incorporated,324162000000.0,0.12713971286209524,0.16401504194388195,0.24560867714291001,0.08771848643579445,0.062067731566315607,21.18,57623000000.0,27911000000.0,245705000000.0,81450000000.0,0.08188681549012027,0.24702271332105585,0.7074647022713321,23404000000.0,26206000000.0,450832662528.0,0.013288744356733282
WMT,Walmart Inc.,611289000000.0,0.06728019359096571,-0.1457617201784539,0.24140463839525986,0.03341790871420883,0.01910716535059522,4.27,58923000000.0,8885000000.0,243457000000.0,76693000000.0,0.047975617870917656,0.15229551588802107,0.7682969762559816,12244000000.0,29101000000.0,443138441216.0,0.013797042710225716
JPM,JP Morgan Chase & Co.,128695000000.0,0.05792073917582563,-0.22050730334753998,,,0.29275418625432226,12.09,466727000000.0,,3665743000000.0,264928000000.0,0.010277861814098807,0.1422122236985143,1.7617126162580021,107119000000.0,107119000000.0,432455254016.0,0.0313604699539579
